delivery_id,supplier_id,component_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_status
D0008669,S001,C0212,2024-02-19,2024-03-03,2024-03-04,15347,15347,Delayed
D0002176,S015,C0052,2024-02-19,2024-03-21,2024-03-21,19149,19149,On-Time
D0000450,S005,C0018,2024-02-19,2024-03-25,2024-03-25,5525,5525,On-Time
D0000499,S008,C0019,2024-02-19,2024-04-08,2024-04-09,8919,8919,Delayed
D0007348,S016,C0170,2024-02-19,2024-03-11,2024-03-12,16632,16632,Delayed
D0002506,S016,C0058,2024-02-19,2024-03-22,2024-03-22,10619,10619,On-Time
D0009305,S004,C0229,2024-02-19,2024-03-19,2024-03-20,529,529,Delayed
D0007714,S015,C0184,2024-02-19,2024-05-06,2024-05-06,248,248,On-Time
D0007861,S002,C0193,2024-02-19,2024-03-14,2024-03-14,5949,5949,On-Time
D0007902,S007,C0194,2024-02-19,2024-03-20,2024-03-20,19725,19725,On-Time
D0007945,S010,C0195,2024-02-19,2024-03-17,2024-03-17,10007,10007,On-Time
D0009051,S007,C0221,2024-02-19,2024-03-10,2024-03-10,12886,12886,On-Time
D0000152,S019,C0009,2024-02-19,2024-04-25,2024-04-25,65,65,On-Time
D0009362,S002,C0231,2024-02-19,2024-03-30,2024-03-30,447,447,On-Time
D0008760,S002,C0214,2024-02-19,2024-03-16,2024-03-16,9553,9553,On-Time
D0009092,S008,C0222,2024-02-19,2024-03-13,2024-03-14,12214,12214,Delayed
D0007119,S002,C0166,2024-02-19,2024-03-24,2024-03-24,32219,32219,On-Time
D0009391,S012,C0232,2024-02-19,2024-03-27,2024-03-28,132,132,Delayed
D0004439,S005,C0098,2024-02-20,2024-03-25,,4287,4287,Unknown
D0009252,S005,C0227,2024-02-20,2024-03-27,2024-03-28,388,388,Delayed
D0009334,S010,C0230,2024-02-20,2024-03-28,2024-03-28,145,145,On-Time
D0003601,S018,C0079,2024-02-20,2024-03-26,2024-03-26,6234,6234,On-Time
D0005268,S019,C0121,2024-02-20,2024-04-30,2024-04-30,1988,1988,On-Time
D0009223,S003,C0226,2024-02-20,2024-04-19,2024-04-20,190,190,Delayed
D0007014,S019,C0164,2024-02-20,2024-04-02,2024-04-02,23092,23092,On-Time
D0006476,S005,C0154,2024-02-20,2024-04-15,2024-04-17,20573,20573,Delayed
D0008977,S005,C0219,2024-02-20,2024-03-30,2024-04-13,9322,7195,Delayed
D0007174,S004,C0167,2024-02-20,2024-03-23,2024-03-23,32347,32347,On-Time
