component_id,month,actual_units,actual_issued,ra_3m,ra_6m,rstd_6m,stl_trend,stl_seasonal,stl_resid
C0001,2024-02-01,82,78,164.5,205.66666666666666,109.04280505073837,242.02112317030483,-160.0211231703048,-2.842170943040401e-14
C0001,2024-03-01,247,204,205.66666666666666,237.0,108.87607634370372,246.43775243865264,0.5622475613473652,0.0
C0001,2024-04-01,288,228,288.6666666666667,241.4,94.80137129809884,250.85438170700067,37.145618292999494,-1.7053025658242404e-13
C0001,2024-05-01,331,257,292.6666666666667,246.66666666666666,85.76868115266006,255.27101097534802,75.72898902465182,1.7053025658242404e-13
C0001,2024-06-01,259,202,287.6666666666667,279.5,29.13245612714447,259.68764024369585,-0.6876402436959052,5.684341886080802e-14
C0001,2024-07-01,273,215,270.3333333333333,278.3333333333333,30.787443327867674,264.10426951204363,8.89573048795626,1.1368683772161603e-13
C0001,2024-08-01,279,223,264.0,276.0,30.436819807594834,268.52089878039135,10.479101219608536,1.1368683772161603e-13
C0001,2024-09-01,240,187,264.3333333333333,274.1666666666667,26.543674701643393,272.93752804873924,-32.93752804873918,-5.684341886080802e-14
C0001,2024-10-01,274,208,278.0,279.6666666666667,26.189056238563907,277.35415731708696,-3.3541573170868366,-1.1368683772161603e-13
C0001,2024-11-01,320,238,295.3333333333333,279.6666666666667,26.189056238563907,281.7707865854347,38.229213414565386,-5.684341886080802e-14
C0001,2024-12-01,292,220,295.0,275.0,28.70540018881459,286.18741585378245,5.812584146217553,0.0
C0001,2025-01-01,273,212,272.0,288.0,27.313000567495262,290.60404512213023,-17.604045122130223,0.0
C0001,2025-02-01,251,192,280.6666666666667,294.6666666666667,28.083209693100663,295.02067439047795,-44.020674390478,5.684341886080802e-14
C0001,2025-03-01,318,248,294.3333333333333,292.5,26.17441498868688,299.43730365882567,0.5613500016935477,18.00134633948079
C0001,2025-04-01,314,241,313.0,296.6666666666667,28.004761499906817,303.85393292717345,10.146067072826561,0.0
C0001,2025-05-01,307,242,312.6666666666667,305.8333333333333,27.70860275558229,308.27056219552134,-1.2705621955213295,0.0
C0001,2025-06-01,317,252,317.3333333333333,326.1666666666667,23.92836531538792,312.68719146386906,4.312808536130952,0.0
C0001,2025-07-01,328,254,339.3333333333333,316.0,37.309516212355184,317.1038207322168,10.896179267783227,0.0
C0001,2025-08-01,373,278,319.3333333333333,314.1666666666667,37.695711515591015,321.52045000056455,51.4795499994354,5.684341886080802e-14
