month,component_id,forecast_units
2024-02,C0001,66
2024-02,C0002,91
2024-02,C0003,107
2024-02,C0004,63
2024-02,C0005,123
2024-02,C0006,60
2024-02,C0007,60
2024-02,C0008,99
2024-02,C0009,106
2024-02,C0010,52
2024-02,C0011,145
2024-02,C0012,80
2024-02,C0013,74
2024-02,C0014,5238
2024-02,C0015,4815
2024-02,C0016,10459
2024-02,C0017,10620
2024-02,C0018,6560
2024-02,C0019,6359
2024-02,C0020,7469
2024-02,C0021,6903
2024-02,C0022,3273
2024-02,C0023,8140
2024-02,C0024,3896
2024-02,C0025,2747
2024-02,C0026,3649
2024-02,C0027,8734
2024-02,C0028,3435
2024-02,C0029,4652
2024-02,C0030,7624
2024-02,C0031,11291
2024-02,C0032,8209
2024-02,C0033,5396
2024-02,C0034,6196
2024-02,C0035,7353
2024-02,C0036,4356
2024-02,C0037,8272
2024-02,C0038,6250
2024-02,C0039,5914
2024-02,C0040,6348
2024-02,C0041,6322
2024-02,C0042,6369
2024-02,C0043,10410
2024-02,C0044,9878
2024-02,C0045,16159
2024-02,C0046,19016
2024-02,C0047,14428
2024-02,C0048,15406
2024-02,C0049,20350
2024-02,C0050,13262
2024-02,C0051,29553
2024-02,C0052,17838
2024-02,C0053,34226
2024-02,C0054,20858
2024-02,C0055,16681
2024-02,C0056,12976
2024-02,C0057,25519
2024-02,C0058,17911
2024-02,C0059,10287
2024-02,C0060,15069
2024-02,C0061,22881
2024-02,C0062,21880
2024-02,C0063,15686
2024-02,C0064,18947
2024-02,C0065,14850
2024-02,C0066,15393
2024-02,C0067,33044
2024-02,C0068,14613
2024-02,C0069,20076
2024-02,C0070,9535
2024-02,C0071,19730
2024-02,C0072,18701
2024-02,C0073,18897
2024-02,C0074,22174
2024-02,C0075,16167
2024-02,C0076,21287
2024-02,C0077,6673
2024-02,C0078,22825
2024-02,C0079,16815
2024-02,C0080,14563
2024-02,C0081,12236
2024-02,C0082,13548
2024-02,C0083,9475
2024-02,C0084,19388
2024-02,C0085,21928
2024-02,C0086,6687
2024-02,C0087,11908
2024-02,C0088,11451
2024-02,C0089,18842
2024-02,C0090,18259
2024-02,C0091,27263
2024-02,C0092,2173
2024-02,C0093,3190
2024-02,C0094,7185
2024-02,C0095,7283
2024-02,C0096,7471
2024-02,C0097,5350
2024-02,C0098,4955
2024-02,C0099,4229
2024-02,C0100,5841
2024-02,C0101,3903
2024-02,C0102,6458
2024-02,C0103,5135
2024-02,C0104,5137
2024-02,C0105,5551
2024-02,C0106,4700
2024-02,C0107,3780
2024-02,C0108,7175
2024-02,C0109,5928
2024-02,C0110,4025
2024-02,C0111,8302
2024-02,C0112,3652
2024-02,C0113,5127
2024-02,C0114,3883
2024-02,C0115,4696
2024-02,C0116,3716
2024-02,C0117,7732
2024-02,C0118,8801
2024-02,C0119,3314
2024-02,C0120,3692
2024-02,C0121,5201
2024-02,C0122,4849
2024-02,C0123,5996
2024-02,C0124,3739
2024-02,C0125,5233
2024-02,C0126,6879
2024-02,C0127,5546
2024-02,C0128,4935
2024-02,C0129,3287
2024-02,C0130,5603
2024-02,C0131,2479
2024-02,C0132,1872
2024-02,C0133,2866
2024-02,C0134,3557
2024-02,C0135,3450
2024-02,C0136,3460
2024-02,C0137,4351
2024-02,C0138,5812
2024-02,C0139,5808
2024-02,C0140,2709
2024-02,C0141,3016
2024-02,C0142,2914
2024-02,C0143,3623
2024-02,C0144,3276
2024-02,C0145,3253
2024-02,C0146,3086
2024-02,C0147,2487
2024-02,C0148,2075
2024-02,C0149,1624
2024-02,C0150,21120
2024-02,C0151,47678
2024-02,C0152,34404
2024-02,C0153,49896
2024-02,C0154,19364
2024-02,C0155,35365
2024-02,C0156,60657
2024-02,C0157,59718
2024-02,C0158,60034
2024-02,C0159,46513
2024-02,C0160,20126
2024-02,C0161,29203
2024-02,C0162,33861
2024-02,C0163,50196
2024-02,C0164,50127
2024-02,C0165,41786
2024-02,C0166,41679
2024-02,C0167,28466
2024-02,C0168,32751
2024-02,C0169,34146
2024-02,C0170,26612
2024-02,C0171,23318
2024-02,C0172,33149
2024-02,C0173,36305
2024-02,C0174,37167
2024-02,C0175,10
2024-02,C0176,12
2024-02,C0177,9
2024-02,C0178,11
2024-02,C0179,10
2024-02,C0180,158
2024-02,C0181,201
2024-02,C0182,116
2024-02,C0183,88
2024-02,C0184,156
2024-02,C0185,100
2024-02,C0186,119
2024-02,C0187,176
2024-02,C0188,83
2024-02,C0189,102
2024-02,C0190,84
2024-02,C0191,65
2024-02,C0192,174
2024-02,C0193,43499
2024-02,C0194,23340
2024-02,C0195,16197
2024-02,C0196,32122
2024-02,C0197,20244
2024-02,C0198,34868
2024-02,C0199,17222
2024-02,C0200,39419
2024-02,C0201,39944
2024-02,C0202,16876
2024-02,C0203,28686
2024-02,C0204,28472
2024-02,C0205,25252
2024-02,C0206,18830
2024-02,C0207,29361
2024-02,C0208,33967
2024-02,C0209,29899
2024-02,C0210,28692
2024-02,C0211,37864
2024-02,C0212,19673
2024-02,C0213,36339
2024-02,C0214,26708
2024-02,C0215,11052
2024-02,C0216,30069
2024-02,C0217,40630
2024-02,C0218,22304
2024-02,C0219,21204
2024-02,C0220,31864
2024-02,C0221,30935
2024-02,C0222,16732
2024-02,C0223,473
2024-02,C0224,482
2024-02,C0225,441
2024-02,C0226,383
2024-02,C0227,502
2024-02,C0228,286
2024-02,C0229,418
2024-02,C0230,340
2024-02,C0231,581
2024-02,C0232,807
2024-02,C0233,382
2024-02,C0234,631
2024-02,C0235,761
2024-02,C0236,158
2024-02,C0237,683
2024-02,C0238,584
2024-02,C0239,496
2024-02,C0240,752
2024-03,C0001,277
2024-03,C0002,289
2024-03,C0003,313
2024-03,C0004,274
2024-03,C0005,185
2024-03,C0006,199
2024-03,C0007,394
2024-03,C0008,394
2024-03,C0009,408
2024-03,C0010,136
2024-03,C0011,234
2024-03,C0012,311
2024-03,C0013,495
2024-03,C0014,15319
2024-03,C0015,12707
2024-03,C0016,29873
2024-03,C0017,41138
2024-03,C0018,30830
2024-03,C0019,24637
2024-03,C0020,37653
2024-03,C0021,10526
2024-03,C0022,14904
2024-03,C0023,15043
2024-03,C0024,21152
2024-03,C0025,11241
2024-03,C0026,23630
2024-03,C0027,17178
2024-03,C0028,9762
2024-03,C0029,9599
2024-03,C0030,17712
2024-03,C0031,31676
2024-03,C0032,25680
2024-03,C0033,17898
2024-03,C0034,29241
2024-03,C0035,38916
2024-03,C0036,22300
2024-03,C0037,28771
2024-03,C0038,37337
2024-03,C0039,29393
2024-03,C0040,18615
2024-03,C0041,29673
2024-03,C0042,14487
2024-03,C0043,20981
2024-03,C0044,46072
2024-03,C0045,63630
2024-03,C0046,52467
2024-03,C0047,38270
2024-03,C0048,41934
2024-03,C0049,55522
2024-03,C0050,39971
2024-03,C0051,117359
2024-03,C0052,82798
2024-03,C0053,52883
2024-03,C0054,74421
2024-03,C0055,115719
2024-03,C0056,46713
2024-03,C0057,83064
2024-03,C0058,72470
2024-03,C0059,38704
2024-03,C0060,56890
2024-03,C0061,72882
2024-03,C0062,93898
2024-03,C0063,66522
2024-03,C0064,78393
2024-03,C0065,83544
2024-03,C0066,53727
2024-03,C0067,77066
2024-03,C0068,68349
2024-03,C0069,29851
2024-03,C0070,46099
2024-03,C0071,71076
2024-03,C0072,63755
2024-03,C0073,57829
2024-03,C0074,64965
2024-03,C0075,70124
2024-03,C0076,82726
2024-03,C0077,25420
2024-03,C0078,65750
2024-03,C0079,70149
2024-03,C0080,55772
2024-03,C0081,31012
2024-03,C0082,67975
2024-03,C0083,29531
2024-03,C0084,37564
2024-03,C0085,41720
2024-03,C0086,35399
2024-03,C0087,29804
2024-03,C0088,39954
2024-03,C0089,39968
2024-03,C0090,41906
2024-03,C0091,44522
2024-03,C0092,11250
2024-03,C0093,18644
2024-03,C0094,12535
2024-03,C0095,13813
2024-03,C0096,13516
2024-03,C0097,11205
2024-03,C0098,13765
2024-03,C0099,13690
2024-03,C0100,16071
2024-03,C0101,13961
2024-03,C0102,11856
2024-03,C0103,18527
2024-03,C0104,17134
2024-03,C0105,21126
2024-03,C0106,9997
2024-03,C0107,18219
2024-03,C0108,21952
2024-03,C0109,10591
2024-03,C0110,13246
2024-03,C0111,32192
2024-03,C0112,18799
2024-03,C0113,27290
2024-03,C0114,15861
2024-03,C0115,12106
2024-03,C0116,10625
2024-03,C0117,20364
2024-03,C0118,30143
2024-03,C0119,9944
2024-03,C0120,10368
2024-03,C0121,12166
2024-03,C0122,9746
2024-03,C0123,11384
2024-03,C0124,7507
2024-03,C0125,13795
2024-03,C0126,15527
2024-03,C0127,17858
2024-03,C0128,20866
2024-03,C0129,11316
2024-03,C0130,12415
2024-03,C0131,6396
2024-03,C0132,6220
2024-03,C0133,9608
2024-03,C0134,13587
2024-03,C0135,18487
2024-03,C0136,16672
2024-03,C0137,22581
2024-03,C0138,19831
2024-03,C0139,12279
2024-03,C0140,7841
2024-03,C0141,13116
2024-03,C0142,9204
2024-03,C0143,9148
2024-03,C0144,12119
2024-03,C0145,11758
2024-03,C0146,12436
2024-03,C0147,17631
2024-03,C0148,16135
2024-03,C0149,9171
2024-03,C0150,113828
2024-03,C0151,140091
2024-03,C0152,128242
2024-03,C0153,100885
2024-03,C0154,98635
2024-03,C0155,117413
2024-03,C0156,216762
2024-03,C0157,94912
2024-03,C0158,226281
2024-03,C0159,146040
2024-03,C0160,107836
2024-03,C0161,145591
2024-03,C0162,97007
2024-03,C0163,149579
2024-03,C0164,171346
2024-03,C0165,114689
2024-03,C0166,163763
2024-03,C0167,53830
2024-03,C0168,146092
2024-03,C0169,116413
2024-03,C0170,115613
2024-03,C0171,116600
2024-03,C0172,141131
2024-03,C0173,147304
2024-03,C0174,135767
2024-03,C0175,51
2024-03,C0176,72
2024-03,C0177,46
2024-03,C0178,31
2024-03,C0179,63
2024-03,C0180,455
2024-03,C0181,495
2024-03,C0182,402
2024-03,C0183,333
2024-03,C0184,566
2024-03,C0185,263
2024-03,C0186,567
2024-03,C0187,413
2024-03,C0188,348
2024-03,C0189,708
2024-03,C0190,439
2024-03,C0191,401
2024-03,C0192,203
2024-03,C0193,141891
2024-03,C0194,104052
2024-03,C0195,80504
2024-03,C0196,53073
2024-03,C0197,49877
2024-03,C0198,160032
2024-03,C0199,67344
2024-03,C0200,89422
2024-03,C0201,92161
2024-03,C0202,34142
2024-03,C0203,91054
2024-03,C0204,135761
2024-03,C0205,68357
2024-03,C0206,97023
2024-03,C0207,118520
2024-03,C0208,70394
2024-03,C0209,90896
2024-03,C0210,71574
2024-03,C0211,118282
2024-03,C0212,71456
2024-03,C0213,136270
2024-03,C0214,86768
2024-03,C0215,56295
2024-03,C0216,86267
2024-03,C0217,87686
2024-03,C0218,99625
2024-03,C0219,68323
2024-03,C0220,81169
2024-03,C0221,96184
2024-03,C0222,102383
2024-03,C0223,1099
2024-03,C0224,985
2024-03,C0225,1666
2024-03,C0226,1355
2024-03,C0227,1054
2024-03,C0228,737
2024-03,C0229,587
2024-03,C0230,1047
2024-03,C0231,1374
