month,component_id,actual_units,actual_issued
2024-02,C0001,82,78
2024-03,C0001,247,204
2024-04,C0001,288,228
2024-05,C0001,331,257
2024-06,C0001,259,202
2024-07,C0001,273,215
2024-08,C0001,279,223
2024-09,C0001,240,187
2024-10,C0001,274,208
2024-11,C0001,320,238
2024-12,C0001,292,220
2025-01,C0001,273,212
2025-02,C0001,251,192
2025-03,C0001,318,248
2025-04,C0001,314,241
2025-05,C0001,307,242
2025-06,C0001,317,252
2025-07,C0001,328,254
2025-08,C0001,373,278
2025-09,C0001,257,206
2025-10,C0001,303,226
2025-11,C0001,90,68
2024-02,C0002,95,92
2024-03,C0002,391,315
2024-04,C0002,349,276
2024-05,C0002,403,308
2024-06,C0002,368,295
2024-07,C0002,347,271
2024-08,C0002,422,323
2024-09,C0002,389,300
2024-10,C0002,406,310
2024-11,C0002,346,261
2024-12,C0002,371,304
2025-01,C0002,403,315
2025-02,C0002,323,245
2025-03,C0002,397,305
2025-04,C0002,327,267
2025-05,C0002,410,323
2025-06,C0002,379,298
2025-07,C0002,371,294
2025-08,C0002,360,273
2025-09,C0002,417,312
2025-10,C0002,388,307
2025-11,C0002,121,88
2024-02,C0003,115,105
2024-03,C0003,390,313
2024-04,C0003,379,294
2024-05,C0003,403,321
2024-06,C0003,346,273
2024-07,C0003,348,277
2024-08,C0003,352,285
2024-09,C0003,349,277
2024-10,C0003,372,286
2024-11,C0003,376,281
2024-12,C0003,332,255
2025-01,C0003,361,283
2025-02,C0003,354,280
2025-03,C0003,388,293
2025-04,C0003,392,310
2025-05,C0003,369,302
2025-06,C0003,425,322
2025-07,C0003,407,313
2025-08,C0003,461,341
2025-09,C0003,387,300
2025-10,C0003,362,273
2025-11,C0003,94,77
2024-02,C0004,78,76
2024-03,C0004,209,171
2024-04,C0004,230,178
2024-05,C0004,263,201
2024-06,C0004,275,204
2024-07,C0004,262,198
2024-08,C0004,240,185
2024-09,C0004,246,191
2024-10,C0004,270,209
2024-11,C0004,238,181
2024-12,C0004,230,178
2025-01,C0004,270,212
2025-02,C0004,184,151
2025-03,C0004,251,190
2025-04,C0004,249,186
2025-05,C0004,262,207
2025-06,C0004,256,203
2025-07,C0004,233,187
2025-08,C0004,250,196
2025-09,C0004,231,175
2025-10,C0004,252,201
2025-11,C0004,75,57
2024-02,C0005,95,83
2024-03,C0005,282,224
2024-04,C0005,269,208
2024-05,C0005,266,194
2024-06,C0005,250,199
2024-07,C0005,264,200
2024-08,C0005,270,204
2024-09,C0005,249,198
2024-10,C0005,292,222
2024-11,C0005,231,186
2024-12,C0005,281,221
2025-01,C0005,251,189
2025-02,C0005,217,164
2025-03,C0005,298,232
2025-04,C0005,237,187
2025-05,C0005,265,212
2025-06,C0005,265,209
2025-07,C0005,228,186
2025-08,C0005,283,220
2025-09,C0005,276,211
2025-10,C0005,263,208
2025-11,C0005,79,58
2024-02,C0006,80,73
2024-03,C0006,222,194
2024-04,C0006,246,181
2024-05,C0006,253,199
2024-06,C0006,233,175
2024-07,C0006,244,187
2024-08,C0006,263,196
2024-09,C0006,244,199
2024-10,C0006,189,152
2024-11,C0006,234,180
2024-12,C0006,253,203
2025-01,C0006,229,183
2025-02,C0006,249,184
2025-03,C0006,230,187
2025-04,C0006,223,176
2025-05,C0006,249,203
2025-06,C0006,270,208
2025-07,C0006,281,217
2025-08,C0006,264,210
2025-09,C0006,255,193
2025-10,C0006,278,219
2025-11,C0006,88,67
2024-02,C0007,97,92
2024-03,C0007,364,276
2024-04,C0007,340,250
2024-05,C0007,307,242
2024-06,C0007,329,265
2024-07,C0007,281,226
2024-08,C0007,318,241
2024-09,C0007,337,266
2024-10,C0007,383,301
2024-11,C0007,286,218
2024-12,C0007,364,282
2025-01,C0007,353,275
2025-02,C0007,270,208
2025-03,C0007,384,283
2025-04,C0007,354,281
2025-05,C0007,378,313
2025-06,C0007,335,258
2025-07,C0007,339,252
2025-08,C0007,348,270
2025-09,C0007,310,243
2025-10,C0007,334,243
2025-11,C0007,84,67
2024-02,C0008,73,69
2024-03,C0008,284,232
2024-04,C0008,299,225
2024-05,C0008,310,238
2024-06,C0008,289,221
2024-07,C0008,278,228
2024-08,C0008,257,193
2024-09,C0008,220,163
2024-10,C0008,283,223
2024-11,C0008,260,212
2024-12,C0008,263,216
2025-01,C0008,300,222
2025-02,C0008,259,207
2025-03,C0008,269,215
2025-04,C0008,302,235
2025-05,C0008,265,194
2025-06,C0008,294,231
2025-07,C0008,299,222
2025-08,C0008,294,229
2025-09,C0008,276,216
2025-10,C0008,319,245
2025-11,C0008,82,67
2024-02,C0009,93,84
2024-03,C0009,306,248
2024-04,C0009,296,236
2024-05,C0009,360,270
2024-06,C0009,297,236
2024-07,C0009,361,280
2024-08,C0009,356,279
2024-09,C0009,280,212
2024-10,C0009,288,226
2024-11,C0009,368,292
2024-12,C0009,360,286
2025-01,C0009,346,271
2025-02,C0009,321,251
2025-03,C0009,306,241
2025-04,C0009,305,227
2025-05,C0009,355,273
2025-06,C0009,365,289
2025-07,C0009,390,304
2025-08,C0009,337,269
2025-09,C0009,343,249
2025-10,C0009,325,253
2025-11,C0009,115,94
2024-02,C0010,53,51
2024-03,C0010,165,124
2024-04,C0010,145,108
2024-05,C0010,178,121
2024-06,C0010,151,112
2024-07,C0010,155,116
2024-08,C0010,136,102
2024-09,C0010,148,114
2024-10,C0010,172,121
2024-11,C0010,152,115
2024-12,C0010,177,137
2025-01,C0010,180,134
2025-02,C0010,119,99
2025-03,C0010,171,133
2025-04,C0010,185,141
2025-05,C0010,154,127
2025-06,C0010,169,124
2025-07,C0010,141,111
2025-08,C0010,156,113
2025-09,C0010,125,94
2025-10,C0010,145,107
2025-11,C0010,50,35
2024-02,C0011,106,96
2024-03,C0011,380,310
2024-04,C0011,386,291
2024-05,C0011,406,322
2024-06,C0011,416,321
2024-07,C0011,374,299
2024-08,C0011,387,292
2024-09,C0011,390,302
2024-10,C0011,370,292
2024-11,C0011,409,327
2024-12,C0011,404,310
2025-01,C0011,416,335
2025-02,C0011,324,255
2025-03,C0011,441,332
2025-04,C0011,386,300
2025-05,C0011,371,293
2025-06,C0011,402,326
2025-07,C0011,402,321
2025-08,C0011,399,327
2025-09,C0011,384,290
2025-10,C0011,404,318
2025-11,C0011,118,86
2024-02,C0012,87,78
2024-03,C0012,266,211
2024-04,C0012,258,196
2024-05,C0012,285,226
2024-06,C0012,289,216
2024-07,C0012,247,197
2024-08,C0012,282,223
2024-09,C0012,276,217
2024-10,C0012,264,206
2024-11,C0012,291,231
2024-12,C0012,268,205
2025-01,C0012,273,218
2025-02,C0012,273,205
2025-03,C0012,296,224
2025-04,C0012,268,207
2025-05,C0012,293,219
2025-06,C0012,279,221
2025-07,C0012,262,207
2025-08,C0012,297,241
2025-09,C0012,288,228
2025-10,C0012,287,213
2025-11,C0012,77,59
2024-02,C0013,112,104
2024-03,C0013,360,285
2024-04,C0013,341,251
2024-05,C0013,358,277
2024-06,C0013,355,268
2024-07,C0013,406,313
2024-08,C0013,322,257
2024-09,C0013,323,244
2024-10,C0013,325,266
2024-11,C0013,367,281
2024-12,C0013,307,231
2025-01,C0013,325,256
2025-02,C0013,273,206
2025-03,C0013,342,273
2025-04,C0013,348,265
2025-05,C0013,327,251
2025-06,C0013,288,221
2025-07,C0013,318,245
2025-08,C0013,322,256
2025-09,C0013,359,276
2025-10,C0013,337,265
2025-11,C0013,86,69
2024-02,C0014,5945,5714
2024-03,C0014,21395,17105
2024-04,C0014,23800,18280
2024-05,C0014,21907,16850
2024-06,C0014,22002,17390
2024-07,C0014,23062,17659
2024-08,C0014,21393,16682
2024-09,C0014,21834,17007
2024-10,C0014,22703,17296
2024-11,C0014,22109,16987
2024-12,C0014,22491,17117
2025-01,C0014,21716,16934
2025-02,C0014,19784,15457
2025-03,C0014,21832,16895
2025-04,C0014,21702,17031
2025-05,C0014,23050,17292
2025-06,C0014,21398,16639
2025-07,C0014,22551,17044
2025-08,C0014,23394,18320
2025-09,C0014,24556,19002
2025-10,C0014,23723,18650
2025-11,C0014,5994,4739
2024-02,C0015,6588,6306
2024-03,C0015,20976,16651
2024-04,C0015,19976,15691
2024-05,C0015,22530,17546
2024-06,C0015,19845,15491
2024-07,C0015,21298,16423
2024-08,C0015,21591,16443
2024-09,C0015,20476,15637
2024-10,C0015,20949,15984
2024-11,C0015,20646,16229
2024-12,C0015,22517,16617
2025-01,C0015,20925,16261
2025-02,C0015,19629,15310
2025-03,C0015,20072,15690
2025-04,C0015,20634,15919
2025-05,C0015,20846,16324
2025-06,C0015,20791,15432
2025-07,C0015,21984,16814
2025-08,C0015,20114,15433
2025-09,C0015,19982,15557
2025-10,C0015,20240,15644
2025-11,C0015,5941,4627
2024-02,C0016,7543,7059
2024-03,C0016,26735,21070
2024-04,C0016,25892,20162
2024-05,C0016,27807,21204
2024-06,C0016,26118,20207
2024-07,C0016,26403,20388
2024-08,C0016,26135,19911
2024-09,C0016,25133,19637
2024-10,C0016,25692,19998
2024-11,C0016,25572,19584
2024-12,C0016,26380,20477
2025-01,C0016,25188,19642
2025-02,C0016,22670,17897
2025-03,C0016,27202,20883
